,median_rent_pct_income,median_rent_pct_income_moe,zip
499,34.7,2.5,02150
500,33.9,2.5,02151
501,31.8,3.3,02152
502,25.5,1.7,02155
503,48.2,16.4,02163
504,29.7,1.5,02169
505,27.8,3.5,02170
506,29.7,2.5,02171
507,30.2,3.7,02176
508,27.4,2.4,02180
509,31.7,4.0,02184
510,28.6,6.0,02186
511,32.9,5.5,02188
512,32.5,4.3,02189
513,32.7,3.1,02190
514,27.4,13.0,02191
515,35.8,17.7,02199
516,-666666666.0,-222222222.0,02203
517,-666666666.0,-222222222.0,02205
518,27.7,1.7,02210
519,35.7,3.6,02215
520,33.5,2.0,02301
521,29.0,2.3,02302
522,33.5,12.9,02322
523,31.8,4.7,02324
524,-666666666.0,-222222222.0,02325
525,35.4,14.3,02330
526,38.5,23.7,02332
527,34.4,12.1,02333
528,24.6,19.9,02338
529,44.8,10.2,02339
530,48.8,20.6,02341
531,28.0,13.8,02343
532,34.0,6.7,02346
533,33.3,9.3,02347
534,-666666666.0,-222222222.0,02350
535,30.4,4.8,02351
536,31.8,6.4,02356
537,-666666666.0,-222222222.0,02357
538,28.2,4.6,02359
539,31.1,3.7,02360
540,21.5,9.0,02364
541,-666666666.0,-222222222.0,02366
542,35.3,16.9,02367
543,34.1,3.2,02368
544,32.5,16.8,02370
545,39.4,8.1,02375
546,30.7,9.3,02379
547,34.6,4.3,02382
548,26.7,2.8,02420
549,35.2,6.6,02421
550,28.5,1.9,02445
551,29.5,1.9,02446
552,32.1,4.8,02451
553,27.2,10.2,02452
554,26.5,1.7,02453
555,-666666666.0,-222222222.0,02457
556,26.8,2.4,02458
557,27.1,9.7,02459
558,25.7,3.9,02460
559,33.8,20.4,02461
560,46.7,17.7,02462
561,26.8,12.3,02464
562,24.6,9.3,02465
563,29.9,3.4,02466
564,29.4,7.3,02467
565,20.4,3.6,02468
566,27.0,1.8,02472
567,23.4,1.2,02474
568,25.4,2.5,02476
569,27.4,3.6,02478
570,30.7,4.2,02481
571,24.8,4.5,02482
572,31.1,5.4,02492
573,51.0,-333333333.0,02493
574,35.2,9.7,02494
575,34.0,8.5,02532
576,-666666666.0,-222222222.0,02534
577,25.6,16.0,02535
578,36.1,11.2,02536
579,24.9,4.9,02537
580,37.8,6.9,02538
581,22.9,5.9,02539
582,34.1,5.9,02540
583,34.6,21.5,02542
584,24.8,3.9,02543
585,-666666666.0,-222222222.0,02553
586,31.8,7.9,02554
587,23.9,12.9,02556
588,-666666666.0,-222222222.0,02557
589,-666666666.0,-222222222.0,02558
590,45.2,9.2,02559
591,-666666666.0,-222222222.0,02561
592,42.4,31.0,02562
593,23.7,5.5,02563
594,-666666666.0,-222222222.0,02564
595,33.9,15.0,02568
596,24.4,5.5,02571
597,19.7,5.6,02575
598,34.9,17.9,02576
599,-666666666.0,-222222222.0,02584
600,45.1,7.4,02601
601,-666666666.0,-222222222.0,02630
602,32.1,3.9,02631
603,30.5,16.3,02632
604,37.6,21.0,02633
605,16.7,15.5,02635
606,-666666666.0,-222222222.0,02637
607,22.7,1.7,02638
608,31.7,5.3,02639
609,-666666666.0,-222222222.0,02641
610,51.0,-333333333.0,02642
611,-666666666.0,-222222222.0,02643
612,27.5,12.6,02644
613,35.8,15.2,02645
614,33.4,3.8,02646
615,-666666666.0,-222222222.0,02647
616,19.4,14.2,02648
617,28.4,7.9,02649
618,33.9,54.1,02650
619,-666666666.0,-222222222.0,02652
620,31.4,12.1,02653
621,32.5,19.3,02655
622,32.6,15.1,02657
623,25.3,4.3,02659
624,32.8,1.8,02660
625,-666666666.0,-222222222.0,02663
626,38.1,8.5,02664
627,-666666666.0,-222222222.0,02666
628,13.4,9.1,02667
629,32.3,31.0,02668
630,51.0,-333333333.0,02670
631,-666666666.0,-222222222.0,02671
632,-666666666.0,-222222222.0,02672
633,44.5,9.4,02673
634,28.0,8.2,02675
635,18.1,2.3,02702
636,29.3,2.4,02703
637,-666666666.0,-222222222.0,02713
638,20.9,4.3,02715
639,29.3,8.4,02717
640,28.0,25.7,02718
641,30.4,3.4,02719
642,31.3,2.3,02720
643,31.2,2.9,02721
644,32.1,2.9,02723
645,29.7,3.8,02724
646,-666666666.0,-222222222.0,02725
647,32.4,4.4,02726
648,37.3,28.8,02738
649,24.8,12.5,02739
650,30.5,2.4,02740
651,43.6,21.1,02743
652,28.1,2.4,02744
653,29.4,4.4,02745
654,39.3,4.6,02746
655,32.6,3.7,02747
656,30.1,15.7,02748
657,26.7,2.7,02760
658,33.0,9.1,02762
659,51.0,-333333333.0,02763
660,21.9,6.0,02764
661,29.0,3.4,02766
662,38.8,9.2,02767
663,33.0,25.0,02769
664,19.6,28.7,02770
665,32.2,9.7,02771
666,33.4,7.2,02777
