zip,pop_female,pop_male,pop_total,sex_ratio,zip_area_km2,pop_density_per_km2
92010,7533,6948,14481,0.9223416965352449,30.74975859804393,470.9305262943161
92011,11732,10661,22393,0.9087112171837709,25.01403945154279,895.2172656231606
92014,6782,6650,13432,0.9805367148333825,24.970062846166197,537.9241567292369
92019,21721,20916,42637,0.9629390912020626,116.5860444736013,365.7127248163423
92020,29663,28744,58407,0.9690186427535987,40.85768651056481,1429.522936520093
92021,33434,31793,65227,0.9509182269545972,103.79373994869364,628.4290365897058
92024,26739,25840,52579,0.9663786977822656,70.41431291974615,746.7089831569651
92025,24548,23727,48275,0.9665553201890175,84.18509690115661,573.4387887761254
92026,26658,25759,52417,0.9662765398754595,134.00317312331637,391.16237905622785
92027,26684,26459,53143,0.9915679808124719,222.72703423947274,238.60147997508668
92028,23896,22553,46449,0.94379812520924,432.5235634277207,107.39068094208496
92029,9942,8682,18624,0.8732649366324683,85.15203765040128,218.71467217804428
92036,1808,1765,3573,0.9762168141592921,1867.7464568852618,1.9130005503843899
92037,19968,18684,38652,0.9356971153846154,51.76242212826885,746.7193073813118
92040,20309,19977,40286,0.9836525678270718,253.1732591316423,159.12423033213204
92054,18628,19313,37941,1.036772600386515,31.040081218209412,1222.3228326394396
92055,10051,23361,33412,2.324246343647398,483.9287548133021,69.04322106854391
92056,26567,25023,51590,0.941882786916099,45.74539414415378,1127.7638102194198
92057,27661,26491,54152,0.9577021799645711,56.83617853145559,952.7734164961487
92058,11807,11599,23406,0.9823833319217413,171.46411056822734,136.50670057094257
92059,762,736,1498,0.9658792650918635,102.60512693141492,14.599660317181996
92060,281,497,778,1.7686832740213523,256.30296566696074,3.0354701436070415
92061,1170,1685,2855,1.4401709401709402,129.41213927125895,22.061299782825433
92064,24269,23635,47904,0.9738761382834068,156.57233409748966,305.9544349014597
92065,17640,17725,35365,1.0048185941043084,631.3715109325323,56.01298029390982
92066,263,167,430,0.6349809885931559,81.84651609008434,5.253736145918791
92067,4619,4070,8689,0.8811431045680883,83.00898943552853,104.67540996567098
92069,23325,22997,46322,0.9859378349410504,68.47391455781148,676.4911908299188
92070,384,313,697,0.8151041666666666,497.9729168630713,1.3996745132058168
92071,27382,25829,53211,0.9432839091373896,70.06933632551224,759.4049378861589
92075,5969,5885,11854,0.9859272910035182,13.95617411475186,849.3731808254073
92078,20955,19028,39983,0.9080410403245049,62.283241982420535,641.9543801410533
92081,13877,13545,27422,0.9760755206456727,33.09468344029309,828.5923039412868
92082,9168,8728,17896,0.9520069808027923,466.8810489940498,38.330962540799284
92083,18260,18822,37082,1.0307776560788608,20.576500469025884,1802.1529003836242
92084,24645,23216,47861,0.9420166362345304,105.25019446807491,454.7355018381222
92086,557,574,1131,1.030520646319569,824.4796815481935,1.3717742538860727
92091,814,807,1621,0.9914004914004914,4.767887651769845,339.9828432195299
92093,4362,4356,8718,0.9986244841815681,3.2738683988508925,2662.904838526791
92096,316,306,622,0.9683544303797469,1.209219929618842,514.3812012725101
92101,14454,21169,35623,1.4645772796457728,40.511577872408104,879.3288701860796
92102,21212,21755,42967,1.0255987177069583,16.476498318141807,2607.7749756263593
92103,14646,16034,30680,1.0947699030452,13.529154473559622,2267.695299063864
92104,21894,23053,44947,1.0529368776833836,13.563215963906666,3313.8895760127484
92105,35576,34694,70270,0.9752080053968968,21.204505247285166,3313.918395195603
92106,10307,11540,21847,1.1196274376637236,24.271102928170205,900.1239072099738
92107,13116,13813,26929,1.0531412015858495,12.791368706446807,2105.2477352504015
92108,8838,9353,18191,1.0582711020592894,16.258795125790474,1118.8405942298007
92109,21191,24611,45802,1.1613892690293048,43.73011778447317,1047.3788391272633
92110,12014,11838,23852,0.9853504245047444,18.697346363849146,1275.689048907884
92111,24175,23695,47870,0.9801447776628749,31.170930027106895,1535.7257533981578
92113,25682,25528,51210,0.9940035822755238,19.060418230120487,2686.7196397125585
92114,33352,32081,65433,0.9618913408491245,30.404272176209915,2152.098876788724
92115,27847,28847,56694,1.0359105110065716,22.65881642303818,2502.0724358028165
92116,15567,15872,31439,1.0195927282071047,12.414120794811932,2532.519259288896
92117,25075,25542,50617,1.0186241276171486,32.008862831319426,1581.3432756653021
