Address: Postal Code,Community Plan,District,Inclusionary Count,Most Restrictive AMI Range,Number of Affordable Units,Property Name,SDHC Owned,SRO,State Assembly District,State Senate District,Count of Data Export_Summary 2.csv
92154,OTAY MESA-NESTOR,8,0,50%-60%,238,Vista La Rosa,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,50%-70%,45,Palm Terrace Apartments,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,60%-60%,245,Imperial Pacific Village,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,1145 Ransom Street,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,1169 Ransom Street,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,1232 Peterlynn Dr,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,1317 Twining Avenue,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,1405 Peterlynn Dr,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,1530 Peterlynn Dr,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,4186 Marcwade Dr,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,4256 Layla Way,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,4274 Layla Way,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,4293 Marcwade Dr,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,1,4334 Marge Way,yes,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,5,"HDP ADU, LLC",no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,9,Nestor Regency Senior Citizen Apartments,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,80%-80%,100,Villa Merced,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,1,30%-30%,73,Nestor Senior Village,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,1,30%-60%,49,Creekside Trails,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,1,30%-60%,49,Riverwalk,no,no,80,40,1
92154-2375,OTAY MESA-NESTOR,8,0,80%-80%,78,605 Picador Blvd,yes,no,80,40,1
92154-2506,OTAY MESA-NESTOR,8,0,80%-80%,1,4123 Arey Dr,yes,no,80,40,1
92154-2560,OTAY MESA-NESTOR,8,0,80%-80%,1,1041 Twining Avenue,yes,no,80,40,1
92154-2603,OTAY MESA-NESTOR,8,0,80%-80%,1,4314 Darwin Way,yes,no,80,40,1
92154-2605,OTAY MESA-NESTOR,8,0,80%-80%,1,4334 Ebersole Dr,yes,no,80,40,1
92154-2621,OTAY MESA-NESTOR,8,0,80%-80%,1,4233 Stu Ct,no,no,80,40,1
92154-3118,OTAY MESA-NESTOR,8,0,80%-80%,41,2381 Grove Avenue,yes,no,80,40,1
92154-3150,OTAY MESA-NESTOR,8,0,80%-80%,20,1351 Hollister Street,yes,no,80,40,1
92154-3710,OTAY MESA-NESTOR,8,0,80%-80%,1,4181 Enero Street,yes,no,80,40,1
92154-3714,OTAY MESA-NESTOR,8,0,80%-80%,1,1170 Ilexey Avenue,yes,no,80,40,1
92154-3726,OTAY MESA-NESTOR,8,0,80%-80%,1,1144 Twining Avenue,no,no,80,40,1
92154-3742,OTAY MESA-NESTOR,8,0,80%-80%,1,4230 Kimsue Way,yes,no,80,40,1
92154-3746,OTAY MESA-NESTOR,8,0,80%-80%,1,4074 Marcwade Dr,yes,no,80,40,1
92154-3750,OTAY MESA-NESTOR,8,0,80%-80%,1,4034 Peterlynn Ct,yes,no,80,40,1
92154-3753,OTAY MESA-NESTOR,8,0,80%-80%,1,1327 Peterlynn Dr,yes,no,80,40,1
92154-3760,OTAY MESA-NESTOR,8,0,80%-80%,1,4024 Peterlynn Way,yes,no,80,40,1
92154-3804,OTAY MESA-NESTOR,8,0,80%-80%,1,4339 Marcia Ct,yes,no,80,40,1
92154-3805,OTAY MESA-NESTOR,8,0,80%-80%,1,4239 Marge Way,yes,no,80,40,1
92154-3807,OTAY MESA-NESTOR,8,0,80%-80%,1,4331 Marge Way,yes,no,80,40,1
92154-3809,OTAY MESA-NESTOR,8,0,80%-80%,1,1128 Ransom Street,yes,no,80,40,1
92154-3814,OTAY MESA-NESTOR,8,0,80%-80%,1,1152 Nevin Street,yes,no,80,40,1
92154-3825,OTAY MESA-NESTOR,8,0,80%-80%,1,1366 Ilexey Avenue,yes,no,80,40,1
92154-3830,OTAY MESA-NESTOR,8,0,80%-80%,1,1255 Kostner Dr,yes,no,80,40,1
92154-3833,OTAY MESA-NESTOR,8,0,80%-80%,1,4276 Layla Ct,yes,no,80,40,1
92154-3834,OTAY MESA-NESTOR,8,0,80%-80%,1,4259 Layla Ct,yes,no,80,40,1
92154-3836,OTAY MESA-NESTOR,8,0,80%-80%,1,4269 Layla Way,yes,no,80,40,1
92154-3837,OTAY MESA-NESTOR,8,0,80%-80%,1,4150 Marcwade Dr,yes,no,80,40,1
92173,SAN YSIDRO,8,0,0%-0%,0,El Toreador Apartments,no,yes,80,40,1
92173,SAN YSIDRO,8,0,0%-0%,0,La Nola Hotel,no,yes,80,40,1
92173,SAN YSIDRO,8,0,0%-0%,0,San Ysidro Hotel,no,yes,80,40,1
92173,SAN YSIDRO,8,0,30%-60%,260,Vista Terrace Hills Apartments,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-50%,1,Averil Road Apartments,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-50%,2,Living Rooms at the Border,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-50%,24,La Posada Apartments,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-50%,40,Vista Lane Courts,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-60%,59,Beyer Courtyard Apartments,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-60%,80,Del Prado & Delta Manor,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-60%,159,Rio Vista Apartments,no,no,80,40,1
92173,SAN YSIDRO,8,0,50%-70%,264,Vista Lane Family - Phase 1,no,no,80,40,1
92173,SAN YSIDRO,8,0,60%-60%,2,Raintree Terrace II,no,no,80,40,1
92173,SAN YSIDRO,8,0,80%-80%,14,121 Averil Road,yes,no,80,40,1
92173,SAN YSIDRO,8,0,80%-80%,39,Rancho Del Rio,no,no,80,40,1
92173,SAN YSIDRO,8,0,110%-110%,1,3742-48 Via de la Bandola,no,no,80,40,1
92173,SAN YSIDRO,8,0,110%-110%,5,133 -135 West Olive Drive ADUs,no,no,80,40,1
92173,SAN YSIDRO,8,1,20%-50%,100,Ventana al Sur,no,no,80,40,1
92173,SAN YSIDRO,8,1,25%-25%,64,Milejo Village,no,no,80,40,1
92173,SAN YSIDRO,8,1,25%-60%,99,Iris at San Ysidro,no,no,80,40,1
92173,SAN YSIDRO,8,1,30%-50%,50,San Ysidro Senior Village,no,no,80,40,1
