ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,AffordableUnits,DaysToIssuance,IsIssued,HasCategory,HasProjectID
2395098,5121 BARSTOW ST,658264,Completed,No Plan Kitchen Remodel,"Add/Alt 1 or 2 Fam, No Chg DU",2/7/2020,2/7/2020,1,0,1,1,1
2398237,2712 GOBAT AV,658958,Completed,Combination (No Plan permit),"Add/Alt 1 or 2 Fam, No Chg DU",2/14/2020,2/14/2020,1,0,1,1,1
2398342,6151 MONTEZUMA RD,658974,Completed,Digital_Zuma West Apts,Five or More Family Apt,2/14/2020,5/5/2022,2,811,1,1,1
2398853,7863 ENTRADA ANGELICA,659069,Completed,NO PLAN KITCHEN/BATH REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",2/18/2020,2/18/2020,1,0,1,1,1
2400597,3732 10TH AV,659076,Completed,Cayuca,Five or More Family Apt,2/24/2020,1/14/2021,2,325,1,1,1
2401444,12262 MIDDLEBROOK SQ,659598,Completed,NO PLAN KITCHEN/BATH REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",2/25/2020,2/25/2020,1,0,1,1,1
2414074,3918 ARIZONA ST,661969,Completed,DIGITAL-Arizona St. Housing,Five or More Family Apt,3/30/2020,7/14/2021,3,471,1,1,1
2416383,908 S 26TH ST,662477,Created,Digital - The Barrio Flats,Single Room Occupant Hotel,4/8/2020,,4,,0,1,1
2417230,3634 INDIANA ST,662734,Completed,Indiana Street Apartments,Five or More Family Apt,4/9/2020,6/4/2021,2,421,1,1,1
2420814,5032 HILLTOP DR,663406,Completed,Digital-PERMITNOW Hillt.&Ecl.,Five or More Family Apt,4/22/2020,10/23/2020,111,184,1,1,1
2422559,1420 PACIFIC BEACH DR Unit A & B,663730,Completed,Pacific Beach Drive Townhomes,Two Family Apartment,4/28/2020,10/27/2020,1,182,1,1,1
2433835,3066 NORTH PARK WY,664987,Completed,Digital-PermitNow NPCC,Five or More Family Apt,6/4/2020,3/16/2021,5,285,1,1,1
2433844,3067 05TH AV,665643,Completed,Digital-PermitNowSecoyaBldg,Five or More Family Apt,6/4/2020,12/23/2020,7,202,1,1,1
2434712,5385 LA JOLLA BL,666784,Issued,5385 La Jolla Biltmore Apts.,Five or More Family Apt,6/9/2020,10/2/2021,1,480,1,1,1
2444930,4234 MISSISSIPPI ST,667121,Completed,Digital - MIXED USE Miss ECB,Five or More Family Apt,7/9/2020,4/9/2021,6,274,1,1,1
2448904,926 27TH ST,667858,Issued,Digital- 27TH ST APT PERMITNOW,Five or More Family Apt,7/20/2020,6/20/2022,2,700,1,1,1
2446473,4015 RICHMOND ST,668767,Issued,Digital - Richmonds Multi-Aptm,Five or More Family Apt,7/14/2020,7/12/2022,3,728,1,1,1
