ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,ProjectURL,ApprovalURL,AffordableUnits
PMT-3117210,"4965 Millwood Rd, San Diego, CA 92117",PRJ-1040423,Closed,Rapid Review-Standard-Building Construction:4965/Millwood,Add/Alt Companion Unit/Acc Apt,9/22/2021,1/11/2023,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=020HW&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=024Y2&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3117300,"2661 K St, San Diego, CA",PRJ-1040481,,General-Standard-Building Permit:2661/K,Add/Alt Acc Bldgs to 3+ Fam,9/23/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=020S8&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0254Q&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3119113,"10211 Rancho Carmel Dr, San Diego, CA",PRJ-1040652,Inspection Followup,Actively Managed-Express-Building Construction:10211/Rancho Carmel,,10/4/2021,1/4/2023,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=021HI&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=028S4&agencyCode=SANDIEGO&IsToShowInspection=,10
PMT-3118276,"3961 Georgia St, San Diego, CA 92103",PRJ-1040832,Cancelled Application Expired,General-Express-Building Construction:3961/Georgia,Five or More Family Apt,9/29/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0229C&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0277C&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3118742,"2829 Broadway, San Diego, CA 92102",PRJ-1040838,Cancelled Application Expired,General-Express-Building Construction:2829/Broadway,Five or More Family Apt,10/1/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0229T&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0280N&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3125163,"5505 Mary Lane Dr, San Diego, CA 92115",PRJ-1041638,Closed,General-Standard-Building Construction:5503/Mary Lane,Add/Alt Companion Unit/Acc Apt,11/16/2021,5/17/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=025C1&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02M00&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3120055,"5144 Manchester Rd, San Diego, CA 92115",PRJ-1041832,Closed,General-Standard-Building Construction:5144/Manchester,Add/Alt Companion Unit/Acc Apt,10/11/2021,10/7/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=025YH&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02AUQ&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3120060,"5144 Manchester Rd, San Diego, CA 92115",PRJ-1041832,Closed,General-Standard-Building Construction:5144/Manchester,Add/Alt Companion Unit/Acc Apt,10/11/2021,10/7/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=025YH&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02AV6&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3120065,"5144 Manchester Rd, San Diego, CA 92115",PRJ-1041832,Closed,General-Standard-Building Construction:5144/Manchester,Add/Alt Companion Unit/Acc Apt,10/11/2021,10/7/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=025YH&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02AVH&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3124267,"4451 Logan Av, San Diego, CA 92113",PRJ-1042516,Cancelled Application Expired,General-Expedite-Building Construction:4451/Logan,One Family Detached,11/9/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0292B&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02K0P&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3124268,"4451 Logan Av, San Diego, CA 92113",PRJ-1042516,Cancelled Application Expired,General-Expedite-Building Construction:4451/Logan,One Family Detached,11/9/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0292B&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02K0R&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3124273,"4451 Logan Av, San Diego, CA 92113",PRJ-1042516,Cancelled Application Expired,General-Expedite-Building Construction:4451/Logan,One Family Detached,11/9/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=0292B&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02K11&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3121677,"2710 03rd Av, San Diego, CA",PRJ-1042534,Inspection Followup,General-Expedite-Building Construction:2710/03rd,,10/21/2021,1/3/2023,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02954&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02EK1&agencyCode=SANDIEGO&IsToShowInspection=,11
PMT-3122275,"1311 Pequena St, San Diego, CA 92154",PRJ-1043110,Closed,General-Standard-Building Construction:1311/Pequena,"Add/Alt 1 or 2 Fam, No Chg DU",10/26/2021,5/23/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02BDX&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02FXI&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3125897,"5727 Lauretta St, San Diego, CA 92110",PRJ-1043791,Closed,General-Express-Building Construction:5727/Lauretta,Five or More Family Apt,11/19/2021,6/29/2023,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02E2J&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02NGJ&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3277988,"5727 Lauretta St, San Diego, CA 92110",PRJ-1043791,Inspection Followup,General-Express-Building Construction:5727/Lauretta,ACC STRUCT- NON RES,3/4/2024,11/1/2024,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02E2J&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC24&capID2=00000&capID3=00L9Q&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3126326,"530 42nd St, San Diego, CA",PRJ-1043910,Cancelled Application Expired,Actively Managed-Express-Building Construction:530/42nd,Three or Four Family Apt,11/23/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02EI5&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02OCK&agencyCode=SANDIEGO&IsToShowInspection=,9
PMT-3126508,"531 Morrison St, San Diego, CA",PRJ-1043910,Cancelled Application Expired,Actively Managed-Express-Building Construction:530/42nd,Three or Four Family Apt,11/24/2021,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02EI5&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02OO0&agencyCode=SANDIEGO&IsToShowInspection=,9
PMT-3341994,"4810 Canyon View, San Diego, CA 92117",PRJ-1044024,Closed,General-Standard-Building Construction:3450/Clairemont,Three or Four Family Apt,3/10/2025,3/10/2025,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=02EZH&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC25&capID2=00000&capID3=00NBQ&agencyCode=SANDIEGO&IsToShowInspection=,1
