JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,PROJECT_TYPE,NOTES
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235802,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3213837,5+,Renter,2023-04-05,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235890,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,144.0,144.0,144.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235900,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3213917,5+,Renter,2023-04-05,0,0,0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3213922,5+,Renter,2023-04-05,0,0,0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3213877,5+,Renter,2023-04-05,0,0,0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235846,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4444910100,"225 W Lewis St, San Diego, CA 92103",General-Express-Building Construction:225/Lewis,PMT-3206583,5+,Renter,2023-02-27,2,0,1,0.0,2.0,0.0,31.0,36.0,36.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4320700500,"2253 Dunlop St, San Diego, CA",General-Standard-Building Construction:2253/Dunlop,PMT-3228272,5+,Renter,2023-06-14,15,0,0,0.0,0.0,0.0,134.0,149.0,149.0,0.0,,No,,Approved,Ministerial,
