,B25071_001E,B25071_001EA,B25071_001M,B25071_001MA,GEO_ID,NAME,state,county,tract
410,33.6,,5.2,,1400000US06073015100,,06,073,015100
411,27.6,,3.5,,1400000US06073015200,,06,073,015200
412,51.0,50.0+,-333333333.0,***,1400000US06073015301,,06,073,015301
413,33.6,,13.9,,1400000US06073015302,,06,073,015302
414,28.1,,35.6,,1400000US06073015403,,06,073,015403
415,43.2,,15.2,,1400000US06073015405,,06,073,015405
416,39.1,,31.1,,1400000US06073015406,,06,073,015406
417,51.0,50.0+,-333333333.0,***,1400000US06073015407,,06,073,015407
418,34.0,,13.3,,1400000US06073015408,,06,073,015408
419,32.4,,14.2,,1400000US06073015501,,06,073,015501
420,40.9,,20.5,,1400000US06073015502,,06,073,015502
421,37.8,,12.9,,1400000US06073015601,,06,073,015601
422,26.7,,27.5,,1400000US06073015602,,06,073,015602
423,51.0,50.0+,-333333333.0,***,1400000US06073015701,,06,073,015701
424,51.0,50.0+,-333333333.0,***,1400000US06073015704,,06,073,015704
425,42.0,,6.6,,1400000US06073015705,,06,073,015705
426,36.6,,12.2,,1400000US06073015706,,06,073,015706
427,36.9,,4.8,,1400000US06073015801,,06,073,015801
428,34.5,,5.6,,1400000US06073015802,,06,073,015802
429,48.5,,8.3,,1400000US06073015901,,06,073,015901
430,51.0,50.0+,-333333333.0,***,1400000US06073015902,,06,073,015902
431,28.6,,12.5,,1400000US06073016000,,06,073,016000
432,51.0,50.0+,-333333333.0,***,1400000US06073016100,,06,073,016100
433,41.7,,31.1,,1400000US06073016201,,06,073,016201
434,32.3,,5.0,,1400000US06073016202,,06,073,016202
435,43.0,,8.1,,1400000US06073016301,,06,073,016301
436,41.0,,7.5,,1400000US06073016302,,06,073,016302
437,31.5,,15.0,,1400000US06073016401,,06,073,016401
438,39.5,,14.6,,1400000US06073016403,,06,073,016403
439,29.2,,10.6,,1400000US06073016404,,06,073,016404
440,44.7,,6.6,,1400000US06073016502,,06,073,016502
441,29.4,,7.8,,1400000US06073016503,,06,073,016503
442,45.9,,10.9,,1400000US06073016504,,06,073,016504
443,34.2,,3.5,,1400000US06073016606,,06,073,016606
444,32.0,,15.4,,1400000US06073016607,,06,073,016607
445,37.1,,20.6,,1400000US06073016608,,06,073,016608
446,33.4,,7.1,,1400000US06073016609,,06,073,016609
447,29.2,,10.8,,1400000US06073016610,,06,073,016610
448,40.1,,29.5,,1400000US06073016613,,06,073,016613
449,35.0,,14.3,,1400000US06073016614,,06,073,016614
450,40.3,,5.2,,1400000US06073016615,,06,073,016615
451,45.6,,3.0,,1400000US06073016616,,06,073,016616
452,51.0,50.0+,-333333333.0,***,1400000US06073016617,,06,073,016617
453,31.2,,7.2,,1400000US06073016618,,06,073,016618
454,42.7,,12.4,,1400000US06073016619,,06,073,016619
