zip,pop_female,pop_male,pop_total,sex_ratio,zip_area_km2,pop_density_per_km2
92124,15482,14850,30332,0.9591784007234208,35.98696314790037,842.8607847608752
92126,34512,38525,73037,1.1162783959202596,42.69708111538864,1710.5853161863192
92127,19992,19280,39272,0.9643857543017207,85.67257817547305,458.3963834911538
92128,24890,22503,47393,0.9040980313378867,43.24889447577859,1095.8199180453573
92129,25384,25824,51208,1.0173337535455405,48.27146799055037,1060.8337001481805
92130,24479,25237,49716,1.0309653172106703,68.46559701055476,726.1457165463073
92131,17467,16859,34326,0.9651915039789317,143.07877942344314,239.90979052464408
92134,27,128,155,4.7407407407407405,0.2755134936286934,562.5858754086719
92135,1162,5358,6520,4.611015490533563,1.5427128622879949,4226.321151124778
92136,1898,9651,11549,5.084826132771338,4.5597981432573444,2532.787557071515
92139,18186,16896,35082,0.929066314747608,13.116408227391885,2674.6651516026986
92140,28,3407,3435,121.67857142857143,2.0101078661055136,1708.8635181828056
92145,2,0,2,0.0,39.18942476084745,0.05103417598510193
92154,38004,41229,79233,1.0848594884748974,189.97291571769904,417.07524307170576
92155,419,716,1135,1.7088305489260143,3.3862308243346706,335.180930916901
92173,15498,13820,29318,0.8917279648986967,10.517215050011922,2787.6200933978967
92182,954,1066,2020,1.1174004192872118,0.7673861223914793,2632.3123927559172
92672,1308,2732,4040,2.08868501529052,101.10536486903784,39.95831482565764
